sample,subject,condition,mmse
3,29,two_back,1.7280104936987997
4,29,two_back,1.7419853100269644
5,29,two_back,1.648836040650386
6,29,two_back,1.4769609842148916
7,29,two_back,1.429756024599941
8,29,two_back,1.7294543150331365
9,29,two_back,1.7356702828190116
10,29,two_back,1.7933275718812698
0,29,no_back,1.867767471184606
1,29,no_back,1.8109551104173502
2,29,no_back,1.7237849112555945
3,29,no_back,1.730503105580083
4,29,no_back,1.7229786747095241
5,29,no_back,1.7891708061205445
6,29,no_back,1.8034144926051943
7,29,no_back,1.3980792530730928
8,29,no_back,1.4903852233136035
9,29,no_back,1.8273390447555133
10,29,no_back,1.83958288948876
0,30,two_back,1.0601748498936774
1,30,two_back,1.1502742307819556
2,30,two_back,1.5340263655173947
3,30,two_back,1.60351194682747
4,30,two_back,1.57973491441564
5,30,two_back,1.413282466530263
6,30,two_back,1.4623607607126587
7,30,two_back,1.3663801743824866
8,30,two_back,1.611403143603258
9,30,two_back,1.5343371778993595
10,30,two_back,1.1061315687691429
0,30,no_back,1.4877319803010507
1,30,no_back,1.4292534883890469
2,30,no_back,1.407779385391445
3,30,no_back,1.2104949453916987
4,30,no_back,1.2097411649649488
5,30,no_back,1.40347015842192
6,30,no_back,1.510930855062077
7,30,no_back,1.5613364448345244
8,30,no_back,1.431376287973597
9,30,no_back,1.417472763508101
10,30,no_back,1.3433321637233069
0,31,two_back,1.9301341202237
1,31,two_back,1.9007874937701597
2,31,two_back,1.9425233003257354
3,31,two_back,1.9230664206102306
4,31,two_back,1.9158655217619567
5,31,two_back,1.9074614598275288
6,31,two_back,1.9123596839963057
7,31,two_back,1.9095521073887718
8,31,two_back,1.9245756575233084
9,31,two_back,1.9188089465446956
10,31,two_back,1.9268765015493596
0,31,no_back,1.9559333940596504
1,31,no_back,1.9101817684745777
2,31,no_back,1.8594070312888231
3,31,no_back,1.8096388565203012
4,31,no_back,1.874750316920482
5,31,no_back,1.9422580735254957
6,31,no_back,1.9402224942845399
7,31,no_back,1.9458098370850017
8,31,no_back,1.824657699010879
9,31,no_back,1.864726543241308
10,31,no_back,1.9838986622849015
0,32,two_back,1.5815627144791076
1,32,two_back,1.6640527351590713
2,32,two_back,1.6586571295059207
3,32,two_back,1.6265743686064502
4,32,two_back,1.7475876804299284
5,32,two_back,1.7074058133032872
6,32,two_back,1.7417103118923687
7,32,two_back,1.7345857166708831
8,32,two_back,1.797464028132337
9,32,two_back,1.753161682429669
10,32,two_back,1.5732069459889662
0,32,no_back,1.7405970544242033
1,32,no_back,1.6750147532709565
2,32,no_back,1.6324620860439658
3,32,no_back,1.6768306166056663
4,32,no_back,1.8237794901484354
5,32,no_back,1.7821231106622164
6,32,no_back,1.6984250298201518
7,32,no_back,1.700179514554106
8,32,no_back,1.7643409324470307
9,32,no_back,1.7993841395976564
10,32,no_back,1.845154696550205
0,33,two_back,1.42096464306662
1,33,two_back,1.5014573215294997
2,33,two_back,1.6386746819792903
3,33,two_back,1.663632776775249
4,33,two_back,1.583814352488705
5,33,two_back,1.548142507860378
6,33,two_back,1.6986982032311766
7,33,two_back,1.7030057804689318
8,33,two_back,1.5792470374607943
9,33,two_back,1.5598125517220673
10,33,two_back,1.492809992534361
0,33,no_back,1.5734810456400175
1,33,no_back,1.510677239810779
2,33,no_back,1.4257354005546254
